Task Name,Model Associated,Order,Description,Tcode Associated
Adjust Outstanding quantity to 0,5.3.3.5 -PD Complete Service Order ZMPD: PaiD 1.00,9,"Key Activites:
FSE to adjust outstanding quantity(either by return remaining parts to warehouse or consume remaining quantities) to 0",SAP FSM: Field Service Management (Application)
Adjust safety stock and order quantity levels,4.1.3.1 -SP Create Unconstrained Plan 2.00,29,,
Adjustment of forecast relevant parameters,4.1.2.6 -SP Evaluate and revise demand forecasting approach 2.00,26,,"Fiori /SAPAPO/SPPFCSTPRF: Manage Forecast Profile for Demand Planner - Service Parts (Application),
SAP /SAPAPO/SPPLONGFCST: SPP Long-Term Forecasting (Application)"
Adopt new production schedule,4.3.1.4 Reschedule Production Orders 2.00,10,"Adopt the changes to the production schedule.
T-code: /SAPAPO/CDPS0
App: Advanced Scheduling Board","Fiori F5460: Advanced Scheduling Board (Application),
SAP /SAPAPO/CDPS0: DPS Variable View (Application),
SAP CM21: Capacity leveling. SFC planning table (Application)"
Adopt new production schedule,4.3.1.4 Reschedule Production Orders 2.00,37,"Adopt the changes to the production schedule.
T-code: /SAPAPO/CDPS0
App: Advanced Scheduling Board","Fiori F5460: Advanced Scheduling Board (Application),
SAP /SAPAPO/CDPS0: DPS Variable View (Application)"
Adopt or Save Simulation,4.3.1.4 Reschedule Production Orders 2.00,34,"Save/Adopt Only Applicable to PPDS
Lean PP always adopts",
Advice bank account to transfer to/from,9.6.1.8 -PAY BATCH Process payments (Automatic Payment Run – Batch Job) 1.00,55,,
Aggregate by Production Orders using PowerApp sorting,4.4.3.1B Manage and track inventory deployment 2.00,15,,MS PowerApp (Microsoft) (Application)
Agree on improvement action plans with suppliers,4.2.5.2B Prepare/Analyze procurement and vendor performance 1.00,20,Commodity Managers share the scorecards with the suppliers and follow up in case expectations are not being met. Commodity leads are responsible to define and monitor the minimum threshold and criteria for each of the scorecard components; this may differ from supplier to supplier depending on market and maturity. Results are shared with the supplier and follow-up actions are agreed with the supplier and tracked throughout the quarter to ensure improvement.,
Align Production OrderS,4.3.1.4 Reschedule Production Orders 2.00,28,Change impact more multiple production orders alignment needed,
"Align sales between Sales Operations, Finance, BU BD (Business Development), and GOPS",3.5.2.3 R&C Manage sales/key account plan 1.00,19,,
Allocate approved budget for utilization,9.4.2.3 Monitor and track capital projects and budget spending 1.00,2,,SAP IM52: Process budget distribution (Application)
Amend analysis/reports,9.1.2.3 Perform cost of sales analysis 1.00,9,,SAP AFO: (Analytics For Office) org (Application)
Amend analysis/reports,9.1.2.1 -RPT APPROVAL Perform inventory accounting (Approval) 1.00,4,Make adjustment/amended to the report if necessary.,MS Outlook (Application)
Amend CRM forecast book date (to another month within same quarter),3.5.1.6 R&C Manage opportunity pipeline 1.00,19,,SAP CRM (Customer Relationship Management) (Application)
Amend E&O provision after discussion,9.1.2.1 -QTR E&O Perform inventory accounting (Quarterly E&O) 1.00,14,Business Analyst to adjust E&O provision after discussion with Business Control Manager,
Amend provision,9.1.2.1 -MTHLY E&O Perform inventory accounting (Monthly Excess & Obsolescence) 1.00,12,,
Amend report,9.1.2.1 -MTHLY PDT VAR Perform inventory accounting (Monthly Production Variance) 1.00,17,,
Amend report,9.1.2.1 -MTHLY PPV Perform inventory accounting (Monthly PPV) 1.00,17,,
"Amend sales review ""dry run"" deck",3.5.2.3 R&C Manage sales/key account plan 1.00,4,,
Amend Service Entry Sheet,4.2.4.4C Approve Service Entry Sheet 2.00,5,,Fiori F2027: Manage Service Entry Sheets - Lean Services for Employee - Procurement (Application)
Analyse actual material price movement by material number,9.1.2.5 Perform variance analysis 1.00,6,,
Analyse assembly and testing cycle time for each tool,4.1.1.5 -SP Define Capacities 2.00,10,Analysis is done by comparing the total current month's cycle time to the previous months and past 2 quarters,
Analyse FDT Dashboard/ Scorecard for duties optimization,4.4.4.4 R&C Process and audit carrier invoices and documents 2.00,3,FDT: Freight Duties Tax,
Analyse Impact on Build/Test/BPS,4.1.2.4 Determine available to promise (OFE Change Approval Ticket B Impact Analysis) 2.00,28,,SAP IPS OFE Change Approval ticket Workflow (Order Fulfillment Equipment) (I ) (Application)
Analyse Impact on Customization,4.1.2.4 Determine available to promise (OFE Change Approval Ticket B Impact Analysis) 2.00,22,,SAP IPS OFE Change Approval ticket Workflow (Order Fulfillment Equipment) (I ) (Application)
Analyse Impact on Generic,4.1.2.4 Determine available to promise (OFE Change Approval Ticket B Impact Analysis) 2.00,26,,SAP IPS OFE Change Approval ticket Workflow (Order Fulfillment Equipment) (I ) (Application)
Analyse key purchasing metrics,4.2.5.2B Prepare/Analyze procurement and vendor performance 1.00,30,,
Analyse platform/ regions combinations with below company average turnover rate,4.1.3.1 -SP Create Unconstrained Plan 2.00,57,,
Analyse reason for blocking,11.2.2.6C R&C Monitor and test regulatory compliance position and existing controls (Blocked Sales Transactions) 1.00,10,"To block - sanction parties screening fail, missing export license, missing product classification, China High Risk Customer
To unblock - sanction parties screening pass, valid export license, valid product classification, validated China High Risk Customer",
Analyse report to determine if need to raise journal entry,9.1.2.1 -MTHLY INV RPT Perform inventory accounting (Monthly Inventory Reporting) 1.00,6,,
Analyse spend report,4.2.1.5 R&C Analyze organization’s spend profile 1.00,6,Spend report is analyzed and used to develop commodity strategies,
Analyse YTD cost savings vs target,4.2.1.5 R&C Analyze organization’s spend profile 1.00,12,,
Analyze Accrual Postings,9.3.2.4 -ACCRUAL Process period end adjustments (Accrual Engine) 1.00,14,"After the transaction is completed, GL accountant will retrieve the posted details for review.",Fiori F3732: Analyze Accrual Postings for General Ledger Accountant (Application)
Analyze Cost Component Split for Planned Costs,9.1.2.1 -ADHOC3 ANALYSIS Perform inventory accounting (Adhoc Cost Analysis) 1.00,24,(Analyze Cost Component Split for planned costs: Cost components (Mass)) to download the costing result where there is an option to include the freight adder (% can be entered in the selection screen).,SAP ZCK80_99: Material: Cost Components (Application)
Analyze critical parts review by tool type,4.1.3.1 -SP Create Unconstrained Plan 2.00,43,"Review based on:
- Fill rate performance (based on usage)
- Weekly trend chart for fill rate %
- 0 bin replenishment plan for high/low usage parts used to expedite and allocate parts",Fiori /SAPAPO/SPP_SHORT_MO: Display Shortage Monitor (Application)
Analyze Customer Credit Utilization,9.2.1.5 Review Existing Accounts (Process Credit Limit for Customer) 1.00,8,"Analyze Customer Credit Utilization based on customers past sales volume, value and payment history","Fiori UKM_BP_DISPLAY: Display Credit Master Data - DEPRECATED - (Application),
Fiori UKM_MALUS_DSP: Display Credit Limit Utilization - DEPRECATED (Application)"
Analyze Customer Credit Utilization,9.2.1.5 Review Existing Accounts (Process Credit Limit for Customer) 1.00,13,"Analyze Customer Credit Utilization based on customers past sales volume, value and payment history","Fiori UKM_BP_DISPLAY: Display Credit Master Data - DEPRECATED - (Application),
Fiori UKM_MALUS_DSP: Display Credit Limit Utilization - DEPRECATED (Application)"
Analyze Customer Credit Utilization,9.2.1.5 Review Existing Accounts (Process Credit Limit for Customer) 1.00,28,"Analyze Customer Credit Utilization based on customers past sales volume, value and payment history","Fiori UKM_BP_DISPLAY: Display Credit Master Data - DEPRECATED - (Application),
Fiori UKM_MALUS_DSP: Display Credit Limit Utilization - DEPRECATED (Application)"
Analyze helpdesk ticket,13.8.1.3 Provide BIA help 1.00,15,,
Analyze QN,13.3.3.1 -IM Assess potential impact (Improvement-Manual QN) 1.00,16,"Intake of a QN contains the following activities:
Make sure there is enough information to understand the problem
Classify the most possible defect, cause code and cause department",Fiori QM03: Display Quality Notification (Application)
Analyze QN,13.3.3.1E -MFG Assess potential impact (MFG QNs) 1.00,3,"Intake of a QN contains the following activities:
Make sure there is enough information to understand the problem
Classify the most possible defect, cause code and cause department
The Production Review Board (PRB) consist of several functions, and is lead by....
Manufacturing Engineer decide on ..
Manufacturing Quality Engineer decide on ...
Supplier Quality Engineer decide on
Contract Manufacturing Quality decide on...
The Buyer takes care of replacement if needed
Lead by area owner
Main participants:
Detection function
ME to decide function
MQE to decide customer impact
SQE to acknowledge supplier cause
CMQ to acknowledge CM cause
Logistics to acknowledge Logistics
cause
Planner / Buyer / EFT buyer to arrange
for replacement if involve physical
part (optional)",Fiori QM02: Change Quality Notification for Quality Engineer (Application)
Analyze QN,13.3.3.1D -MFG Assess potential impact (MFG QNs) 1.00,21,"Intake of a QN contains the following activities:
Make sure there is enough information to understand the problem
Classify the most possible defect, cause code and cause department
The Production Review Board (PRB) consist of several functions, and is lead by are owner.
Main participants:
Detection function
ME to decide function
MQE to decide customer impact
SQE to acknowledge supplier cause
CMQ to acknowledge CM cause
Logistics to acknowledge Logistics
cause
Planner / Buyer / EFT buyer to arrange
for replacement if involve physical
part (optional)",Fiori QM02: Change Quality Notification for Quality Engineer (Application)
Analyze QN,13.3.3.1 -FS Assess potential impact (Field Services QN) 1.00,9,"Check the assigned defect code and classify the possible cause code and cause department.
Check if there is a complete and clear problem description describing what, when where and how long the problem ocurred.","Fiori QM02: Change Quality Notification for Quality Engineer (Application),
Fiori QM03: Display Quality Notification (Application),
Fiori QM11: Display Quality Notifications - Worklist (Application)"
Analyze the affected tools and communicate to CCM,"13.3.3.1E.1 SPDA (Non short ship-Type 1)GOPS 8200,3300,GSS 3118 Ariba supplier 1.00",49,,
Announce delivery receival to shipment requestor,"4.4.4.1 Plan, transport and deliver outbound product 2.00",28,,MS Office (Application)
Announce shipment booking details to requestor,"4.4.4.1 Plan, transport and deliver outbound product 2.00",4,,
Any quality issues with Parts Received,4.3.2.2F Execute detailed line schedule (exception handling 1.00,13,,
Apply BOM redlining,2.5.4.1 ETO Sub-System Design 1.00,49,"System task Applies the approved redline bom created with process:
Approve Redline Material BOM (sharepoint.com)",SAP IPS ETO Ticket Workflow (Engineer To Order) ( (Application)
Apply Delivery Block,3.5.4.5A Enter Sales Orders into system 1.00,98,RICEF ID- 2696,
Apply Delivery Z1 block,3.5.4.5A Enter Sales Orders into system 1.00,114,(Z1 Approval needed),
Apply MRP Change Request and PO line items is updated,4.2.4.4B Distribute Purchase Order 2.00,31,,"SAP ARIBA - SCC - MM (Application),
SAP ZMM_MRP_CR: MRP Change Request (Application)"
Appraise suppliers,4.2.5.2B Prepare/Analyze procurement and vendor performance 1.00,26,Pending final decision Power BI or Fiori app to be used to appraise suppliers,"Fiori F1650: Evaluate Suppliers for Employee - Procurement (Application),
Power BI (Microsoft) (Application)"
Appraise suppliers,4.2.5.2B Prepare/Analyze procurement and vendor performance 1.00,16,Pending final decision Power BI or Fiori app to be used to appraise suppliers,"Fiori F1650: Evaluate Suppliers for Employee - Procurement (Application),
Power BI (Microsoft) (Application)"
Approval,3.5.4.7C Process back orders and updates (OFE Change Approval Ticket D Implementation) 4.3.1.4 1.00,7,Manager reviews Order BOM update and decides to approve or reject,SAP IPS OFE Change Approval ticket Workflow (Order Fulfillment Equipment) (I ) (Application)
Approval,2.5.4.1 ETO Sub-System Design 1.00,12,"ObjectiveThe purpose of this task is to do a sanity check on the materials, and material BOM's on the ER, to prevent missing items or incorrect demands being created at a later stage.
Tasks Execute the Perform BOM Manager Approval task from the Business workflow inbox. Make sure that the created BOM structures are compared, and are in accordance with the Customer Order Specification Form.
Validate the impact on costs.
Review the key date (Valid From Date of the BOM) before BOM approval.
Ensure that the BOM item categories used are of the correct type (no BOM items X, Y, or Z)",SAP IPS ETO Ticket Workflow (Engineer To Order) ( (Application)
Approval by GAM,5.3.3.5 -PD Complete Service Order ZMPD: PaiD 1.00,32,,SAP SWI1: Selection report for workflows (Application)
Approve BOM,2.5.3.2 -iPLM Manufacturing Preparation Request 1.00,26,,SAP IPS iPLM Manufacturing Preparation ticket workflow (Application)
Approve budget for next year,9.1.2.4 -ACVT RATE Perform product costing (Maintain Activity Rate) 1.00,2,"Budget data is planned in Anaplan.
The annual plan/budget data is used for this process flow.
Activity rates are calculated/ simulated either manually or by the SAP test system during the budget process. These will be approved by the Business Controller after completion of the budget process and released in S4 production version.
Cost driver and SKF/ allocation key will be determined during the annual budget process prior to final budget approval.
Incoming freight adder will be calculated during budget process.",ANAPLAN (Finacial Planning & Analyses) (Application)
Approve Changes,4.1.5.1 -EQ Maintain master data 1.00,14,,
Approve contract (Object),4.2.3.3 -CONTRACT Negotiate and establish contracts 1.00,26,,Fiori F0862: My Inbox for Manager (Application)
Approve PIR creation /update request,4.2.3.4B Manage Purchase Info Record 2.00,9,,HaloITSM MDM (Master Data Management) (Application)
Approve PR generated by planning run,4.1.3.1 -SP Create Unconstrained Plan 2.00,16,PR: Purchase Requestions,"Fiori /SAPAPO/SPP_ALERT_MO: Display Alert Monitor (Application),
Fiori /SAPAPO/SPP_ALERT_SU: Display Alert Summary (Application),
Fiori /SAPAPO/SPP_COCKPIT: Display eSPP Cockpit (Application),
Fiori /SAPAPO/SPP_NOTE_ANA: Manage Analyst Note (Application),
Fiori /SAPAPO/SPP_SHORT_MO: Display Shortage Monitor (Application),
Fiori /SAPAPO/SPP_SHORT_OV: Display Shortage Overview (Application),
SAP /SAPAPO/SPP_NOTE_DEL: Delete Analyst Node (Application),
SAP /SAPAPO/SPP_PLN_LIST: Planner’s Worklist (Application),
SAP /SAPAPO/SPP_SCHD_EXP: Explanation Prog. for SPP Scheduler (Application),
SAP /SAPAPO/SPPINBD: SPP Inbound Delivery Monitor - Standard Times (Application)"
Approve Project,4.1.2.4 Determine available to promise (OFE Change Approval Ticket B Impact Analysis) 2.00,19,"Based on the analysis from PM/PL/CC/ME, determine whether the change(s) can be managed before the system shipment. Decision based on below:
Approved: If GOPS can manage the change
Reject/Return to Marketing: If the change cannot be managed by GOPS OR If any amendment required from Marketing (eg. request to split ticket, wrong info in ticket etc) ; Task will then be returned to BU marketing",SAP IPS OFE Change Approval ticket Workflow (Order Fulfillment Equipment) (I ) (Application)
Approve Purchase Order,4.2.4.4A Create/Distribute Purchase Orders 2.00,5,Approved,"Fiori F0862: My Inbox for Manager (Application),
Fiori ME29N: Release Purchase Order (Application)"
Approve requisition,4.2.4.2 Approve requisitions 1.00,6,,Fiori F0862: My Inbox for Manager (Application)
Approve scheduling agreement,4.2.3.3 -SCHEDULING Negotiate and establish contracts 2.00,29,,"Fiori F0862: My Inbox for Manager (Application),
Fiori F2179: Manage Scheduling Agreement for Purchaser (Application)"
Approve Service Entry Sheet,4.2.4.4C Approve Service Entry Sheet 2.00,14,,Fiori F0862: My Inbox for Manager (Application)
Approve Ship Notification (ASN),4.2.4.4D First article inspection Ariba(Source inspection)-document verification 1.00,20,"The enabling of the Ship Notice is the ""Approval to ship material to ASM"" message to the supplier.
Without any approved ASN the warehouse cannot receive the materials.",
Approve SSD request,4.3.2.5C Monitor and optimize production process (SSD) 1.00,13,"SSD: Shipment Specification Deviation
Key action(s): Upon SSD request is approved, system automatically call remote function call to S/4HANA to create short shipment order and to reduce component Production Order quantity.",K2 SSD: Process (Short Shipment Deviation) (Application)
Approve STR generated from deployment run (Stock Transfer Request),4.1.7.3 Establish dynamic deployment policies 2.00,8,,"Fiori /SAPAPO/SPPDEPL: Manage Deployment for Supply Planner - Service Parts (Application),
SAP /SAPAPO/SPP_STO_APPR: SPP Deployment: Approval of STOs (Application)"
Approve working time,4.3.2.2D Execute detailed line schedule (time approval) 1.00,4,Review and approve time sheet entered by technicians.,SAP Z_APPR: Approve Working time (Application)
Approve working time,5.3.2.6E Time Booking 2.00,15,"Key Activities:
Service manager to Approve FSE ‘s time in CATS",SAP CATS_APPR_LITE: Approve Working Times (Application)
Approve working time with change,4.3.2.2D Execute detailed line schedule (time approval) 1.00,12,"Review, change and approve time sheet entered by Technicians. Upon approval, system will automatically post time sheet into CAT 2 in HR component.",SAP Z_APPR_C: Approve Working time (with Change) (Application)
Archive uploaded file to ASM SharePoint,9.6.1.3 -CTSI Audit invoices and key data in AP system (CTSI) 1.00,7,,
Arrange to ship the part from ASM Hub to Entry plant,"13.3.3.1B -FA Assess potential impact (Failure Analysis QN, prioritize, logistics and assign owner)) 1.00",6,RMA coordinator arrange the shipment of the part from ASM Hub to Entry plant according to the information in the FA-Quality notification,Fiori QM02: Change Quality Notification for Quality Engineer (Application)
Arrange to ship the part from Customer place to ASM Hub,"13.3.3.1B -FA Assess potential impact (Failure Analysis QN, prioritize, logistics and assign owner)) 1.00",4,RMA co Ordinator to arrange for shipment according to the information in the Failure Analysis Quality Notification.,Fiori QM02: Change Quality Notification for Quality Engineer (Application)
Ask another Power User for help,13.8.1.3 Provide BIA help 1.00,3,Another Power User from the BIA and Power BI community (See BIA report Catalog) can be asked for help,
"Assemble acc: Drawing, BOM and Procedure",4.3.2.2B Execute detailed line schedule (Assembly Testing) 2.00,12,,
Asses supplier’s containment actions,13.3.3.3.2C Material purge process 1.00,8,"The Supplier Quality Engineer, in consultation with the responsible Manufacturing Engineer, must assess the effectiveness of the containment actions taken by the supplier on the quality escalation.
Questionable Material is defined as any material that is OOC, non-standard processed, non-standard cosmetic, non-standard smell, or deviant from prior build experience.
Questionable Material represents possible deviations from as-built conditions, but cannot immediately be determined to have no effect on tool performance. This material is to be treated as Discrepant and proceed to MRB for disposition.",Email (Application)
Assess applicability to local business,11.2.2.2 Identify applicable regulatory requirements 1.00,5,Assess whether the local laws and regulations are relevant to the local operations of ASM.,
Assess journal type,9.3.2.2 -JE Process journal entries 1.00,5,,
Assess relevance to ASM's GTC (Global Trade Compliance) rules and master data,11.2.2.3 R&C Monitor the regulatory environment for changing or emerging regulations 1.00,3,,
Assess Request for New Product Hierarchy,2.1.4.6 Manage product/material classification (Create New Product Hierarchy) 1.00,17,Assess Request for New Product Hierarchy.,
Assess Routing Creation/Update Request,4.1.1.7B Define Production Process (Routing) 3.00,10,"Validate Routing Changes impact to overall product Lead Time
Mass creation/Update standard routing
create or change standard routing
delete standard routing",Fiori CA03: Display Routing (Application)
Assess shortage in details,4.3.1.7 Release Production Order 2.00,19,,
Assess the Issue,4.3.2.2F Execute detailed line schedule (exception handling 1.00,20,"Provide the Confirmed Solution which needs to be documented by means of either updating the BOM, Drawing or both.
Possible Root Causes:
1. RD&E - Result in NC to Update.
2. MFG/Mfg Eng
2.1 Reason to Deviate - Result in Verbal One Time Solution
2.2 Mfg Skill Level - Result in Training
2.3 OMS/ Assy Procedure to be corrected - Result in NC
3. OFE - Order Specific BOM/Drawing - Result in NC",
Assign a technical owner,"13.3.3.1B -FA Assess potential impact (Failure Analysis QN, prioritize, logistics and assign owner)) 1.00",16,"If the FA is “Approved” then the Case Owner will:
Assign a competent Technical Case Owner per case if different than the person approving the FA.
Sets the following in the FA case record:Priority (High or Low/Standard)
FA Type (Internal, Supplier or Internal Review/Supplier)
Create a FA Plan to determine root cause(s). The structure of this plan should include:Defining a clear problem statement
Develop Root Cause Hypotheses
Determine what data should be collected and what testing performed to validate Root Cause Hypotheses",Fiori QM02: Change Quality Notification for Quality Engineer (Application)
Assign activity type to activity type group,9.1.3.1 -AT Determine key cost drivers (Maintain Activity Type) 1.00,11,,SAP KLH1: Create Activity Type Group (Application)
Assign cost center to hierarchies [Manage Cost Center Group],9.1.3.1 -CC Determine key cost drivers (Maintain Cost Center) 1.00,25,"Upon receiving the approval, the consolidation & reporting manager would create the relevant cost center group in the system.","Fiori KSH2: Manage Cost Center Groups for Cost Accountant - Overhead (Application),
SAP KSH1: Create cost center group (Application),
SAP OKEON: Change Standard Hierarchy (Application)"
Assign First Article Inspection -usage 54,4.1.8.2A Inspection Plan 2.00,12,Assign FAI-usage 54(Indicator -54 in the system),Fiori QP02: Change Inspection Plan for Quality Planner (Application)
Assign Inspection Characteristics:,4.1.8.2D Create Equipment Task List 2.00,6,Link the Master Inspection Characteristics (MIC) to the operations. This step ensures that the specific parameters to be inspected are included in the task list.,Fiori IA01: Create Equipment Task List (Application)
