Business Process Name,Description,Process owner,Diagram URL
3.5.4.4D OFE ER Phase: Manufacturing [55] + Installed Base [60] 2.00,"Key Activities:
Identify and implement As Build Updates
Complete ER",R&D/Engineering BPO,https://adonis-asm.de.boc-cloud.com/?repoid=f80f3f04-1bd5-41b1-ad51-9bfe639be6ed&id=799aa24f-6e82-4a15-8ecf-df293c336798&libObjID=aee098ea-071d-4150-8ce9-011eaf93643f&at=1&t=view&vt=graphical&scenarioID=anp_scenario_1_design_and_document&lang=en
3.5.4.5A Enter Sales Orders into system 1.00,Process of entering various kinds of sales orders into system,Sales Operations BPO,https://adonis-asm.de.boc-cloud.com/?repoid=f80f3f04-1bd5-41b1-ad51-9bfe639be6ed&id=8a9b0cce-0061-44ad-9a4a-e14fb7b23868&libObjID=aee098ea-071d-4150-8ce9-011eaf93643f&at=1&t=view&vt=graphical&scenarioID=anp_scenario_1_design_and_document&lang=en
3.5.4.5a1 Esign Order Acknowledgement 1.00,Formally E-Sign Order Acknowledgement,Sales Operations BPO,https://adonis-asm.de.boc-cloud.com/?repoid=f80f3f04-1bd5-41b1-ad51-9bfe639be6ed&id=e7581277-f3c9-4e6e-895e-6d0292faa05e&libObjID=aee098ea-071d-4150-8ce9-011eaf93643f&at=1&t=view&vt=graphical&scenarioID=anp_scenario_1_design_and_document&lang=en
3.5.4.5B Enter sales contracts into system 1.00,"Key Tasks
Create value Contract
Create parent Child contract",Sales Operations BPO,https://adonis-asm.de.boc-cloud.com/?repoid=f80f3f04-1bd5-41b1-ad51-9bfe639be6ed&id=ae88af01-c3ec-48fa-a8a5-f1a08aee93a6&libObjID=aee098ea-071d-4150-8ce9-011eaf93643f&at=1&t=view&vt=graphical&scenarioID=anp_scenario_1_design_and_document&lang=en
3.5.4.7A Process back orders and updates (OFE Change Approval Ticket A Initiation) 2.00,"KEy activities:
Prepare OFE Change
Assess change
approve/reject change",R&D/Engineering BPO,https://adonis-asm.de.boc-cloud.com/?repoid=f80f3f04-1bd5-41b1-ad51-9bfe639be6ed&id=7e8b03a3-2dde-4688-94f9-070dba965d08&libObjID=aee098ea-071d-4150-8ce9-011eaf93643f&at=1&t=view&vt=graphical&scenarioID=anp_scenario_1_design_and_document&lang=en
3.5.4.7B Process back orders and updates (OFE Change Approval Ticket C Market Team Decision) 1.00,Key Actvities:,R&D/Engineering BPO,https://adonis-asm.de.boc-cloud.com/?repoid=f80f3f04-1bd5-41b1-ad51-9bfe639be6ed&id=f8eff7ae-28a5-4391-8dff-7b48feb9a24e&libObjID=aee098ea-071d-4150-8ce9-011eaf93643f&at=1&t=view&vt=graphical&scenarioID=anp_scenario_1_design_and_document&lang=en
3.5.4.7C Process back orders and updates (OFE Change Approval Ticket D Implementation) 4.3.1.4 1.00,"Key Activities:
Decide on the need to use the ETO (Engineered To Order) process
Augment, Review, Approve and implement Order BOM changes",R&D/Engineering BPO,https://adonis-asm.de.boc-cloud.com/?repoid=f80f3f04-1bd5-41b1-ad51-9bfe639be6ed&id=38aa4053-9ddc-460b-9d14-cf6e4fc023fb&libObjID=aee098ea-071d-4150-8ce9-011eaf93643f&at=1&t=view&vt=graphical&scenarioID=anp_scenario_1_design_and_document&lang=en
3.5.4.8 Handle sales order inquiries including post-order fulfillment transactions 1.00,"Handle sales order inquiries including post-order fulfillment transactions
(credit memo/note)",Sales Operations BPO,https://adonis-asm.de.boc-cloud.com/?repoid=f80f3f04-1bd5-41b1-ad51-9bfe639be6ed&id=bcaca985-415d-44ac-b42c-2b79cf84976c&libObjID=aee098ea-071d-4150-8ce9-011eaf93643f&at=1&t=view&vt=graphical&scenarioID=anp_scenario_1_design_and_document&lang=en
4.1.1 Develop Production and Materials Strategies 2.00,Develop Production and Materials Strategies,Supply Chain Planning BPO,https://adonis-asm.de.boc-cloud.com/?repoid=f80f3f04-1bd5-41b1-ad51-9bfe639be6ed&id=d47a6e8f-ce14-48fe-94b8-e660da04e0d2&libObjID=aee098ea-071d-4150-8ce9-011eaf93643f&at=1&t=view&vt=graphical&scenarioID=anp_scenario_1_design_and_document&lang=en
4.1.1.5 -EQ Define Capacities 2.00,"JH (2025-02-25)
[To be updated]
Outlining the manufacturing and processing capacities of the organization. Delineate the capabilities required for optimizing output with available resources. Analyze capabilities possessed by the organization concerning the raw materials required and the process necessitated for producing finished products. 1) Create Work center 2) Create Pooled Capacity 3) Assign Work Center to Pooled Capacity",Supply Chain Planning BPO,https://adonis-asm.de.boc-cloud.com/?repoid=f80f3f04-1bd5-41b1-ad51-9bfe639be6ed&id=2db993ea-290e-4d9b-aa46-b763dd9d9fa6&libObjID=aee098ea-071d-4150-8ce9-011eaf93643f&at=1&t=view&vt=graphical&scenarioID=anp_scenario_1_design_and_document&lang=en
4.1.1.5 -SP Define Capacities 2.00,Define Capacities Spares,Supply Chain Planning BPO,https://adonis-asm.de.boc-cloud.com/?repoid=f80f3f04-1bd5-41b1-ad51-9bfe639be6ed&id=f661c7dd-c97f-4519-897c-6ed10a1a97a3&libObjID=aee098ea-071d-4150-8ce9-011eaf93643f&at=1&t=view&vt=graphical&scenarioID=anp_scenario_1_design_and_document&lang=en
4.1.1.6 -DDMRP Define Production Network & Supply Constraints 2.00,DDMRP Define Production Network & Supply Constraints,Supply Chain Planning BPO,https://adonis-asm.de.boc-cloud.com/?repoid=f80f3f04-1bd5-41b1-ad51-9bfe639be6ed&id=e0bc93aa-779a-462e-937d-e883c222b744&libObjID=aee098ea-071d-4150-8ce9-011eaf93643f&at=1&t=view&vt=graphical&scenarioID=anp_scenario_1_design_and_document&lang=en
4.1.1.6 -MRP Define Production Network & Supply Constraints 1.00,Define Production Network & Supply Constraints,Supply Chain Planning BPO,https://adonis-asm.de.boc-cloud.com/?repoid=f80f3f04-1bd5-41b1-ad51-9bfe639be6ed&id=a82fb5f9-ee68-43eb-b67d-e3ec16894ce5&libObjID=aee098ea-071d-4150-8ce9-011eaf93643f&at=1&t=view&vt=graphical&scenarioID=anp_scenario_1_design_and_document&lang=en
4.1.1.7 MBOM Creation and Update Request 2.00,"Key Ativities
Synchronise EBOM to MBOM maintain routing and as needed maiontain work instructions and MBOM",R&D/Engineering BPO,https://adonis-asm.de.boc-cloud.com/?repoid=f80f3f04-1bd5-41b1-ad51-9bfe639be6ed&id=86f5b44a-c2d5-4c55-9caa-92ad7142a100&libObjID=aee098ea-071d-4150-8ce9-011eaf93643f&at=1&t=view&vt=graphical&scenarioID=anp_scenario_1_design_and_document&lang=en
4.1.1.7A Define Production Process (MBOM) 1.00,Define Production Process (MBOM),Manufacturing BPO,https://adonis-asm.de.boc-cloud.com/?repoid=f80f3f04-1bd5-41b1-ad51-9bfe639be6ed&id=c6fde3ec-540f-48ad-a1e5-9a6d802bb8f6&libObjID=aee098ea-071d-4150-8ce9-011eaf93643f&at=1&t=view&vt=graphical&scenarioID=anp_scenario_1_design_and_document&lang=en
4.1.1.7B Define Production Process (Routing) 3.00,Define Production Process (Routing),Manufacturing BPO,https://adonis-asm.de.boc-cloud.com/?repoid=f80f3f04-1bd5-41b1-ad51-9bfe639be6ed&id=bf5c2dca-1a56-4885-b274-07a883b0322c&libObjID=aee098ea-071d-4150-8ce9-011eaf93643f&at=1&t=view&vt=graphical&scenarioID=anp_scenario_1_design_and_document&lang=en
4.1.1.7C Define Production Process (Production Version) 3.00,Define Production Process (Production Version),Manufacturing BPO,https://adonis-asm.de.boc-cloud.com/?repoid=f80f3f04-1bd5-41b1-ad51-9bfe639be6ed&id=8c43387d-279b-4167-ac82-b4f3d086e3a7&libObjID=aee098ea-071d-4150-8ce9-011eaf93643f&at=1&t=view&vt=graphical&scenarioID=anp_scenario_1_design_and_document&lang=en
4.1.1.7D Define Production Process (Equipment PRT - Production Resources/Tools) 1.00,Define Production Process (Equipment PRT - Production Resources/Tools),Manufacturing BPO,https://adonis-asm.de.boc-cloud.com/?repoid=f80f3f04-1bd5-41b1-ad51-9bfe639be6ed&id=ed78c9f7-fcd3-4d12-ac0a-78e3a365750f&libObjID=aee098ea-071d-4150-8ce9-011eaf93643f&at=1&t=view&vt=graphical&scenarioID=anp_scenario_1_design_and_document&lang=en
4.1.2 Manage Demand for Products 1.00,4.1.2 Manage Demand for Products,Supply Chain Planning BPO,https://adonis-asm.de.boc-cloud.com/?repoid=f80f3f04-1bd5-41b1-ad51-9bfe639be6ed&id=a6c614fd-03d5-447b-87bf-c2736df14705&libObjID=aee098ea-071d-4150-8ce9-011eaf93643f&at=1&t=view&vt=graphical&scenarioID=anp_scenario_1_design_and_document&lang=en
4.1.2.1 -CKM Develop baseline demand forecasts - Define and Trigger CKM seed stock 1.00,Develop baseline demand forecasts - Define and Trigger CKM seed stock,Supply Chain Planning BPO,https://adonis-asm.de.boc-cloud.com/?repoid=f80f3f04-1bd5-41b1-ad51-9bfe639be6ed&id=565f8e67-df6f-4c02-a7b2-0509560a1d34&libObjID=aee098ea-071d-4150-8ce9-011eaf93643f&at=1&t=view&vt=graphical&scenarioID=anp_scenario_1_design_and_document&lang=en
4.1.2.1 -EQ-CRM Develop baseline demand forecast - Manage opportunity 1.00,Develop baseline demand forecast - Manage opportunity,Supply Chain Planning BPO,https://adonis-asm.de.boc-cloud.com/?repoid=f80f3f04-1bd5-41b1-ad51-9bfe639be6ed&id=6897fc04-90ab-4140-ad3c-01f0044f00d4&libObjID=aee098ea-071d-4150-8ce9-011eaf93643f&at=1&t=view&vt=graphical&scenarioID=anp_scenario_1_design_and_document&lang=en
4.1.2.1 -EQ-RFK Develop baseline demand forecast - Manage Orders 1.00,Develop baseline demand forecast - Manage Orders,Supply Chain Planning BPO,https://adonis-asm.de.boc-cloud.com/?repoid=f80f3f04-1bd5-41b1-ad51-9bfe639be6ed&id=ac226ff5-4bd3-47b6-bf3c-dd2921e2613f&libObjID=aee098ea-071d-4150-8ce9-011eaf93643f&at=1&t=view&vt=graphical&scenarioID=anp_scenario_1_design_and_document&lang=en
4.1.2.1 -EQ-TBD Develop baseline demand forecast - Demand Adjustment 1.00,Develop baseline demand forecast - Demand Adjustment,Supply Chain Planning BPO,https://adonis-asm.de.boc-cloud.com/?repoid=f80f3f04-1bd5-41b1-ad51-9bfe639be6ed&id=1477b9f0-d53b-4dc2-a17b-9089919620b1&libObjID=aee098ea-071d-4150-8ce9-011eaf93643f&at=1&t=view&vt=graphical&scenarioID=anp_scenario_1_design_and_document&lang=en
4.1.2.1 -SP Develop baseline demand forecasts 2.00,Develop baseline demand forecasts,Supply Chain Planning BPO,https://adonis-asm.de.boc-cloud.com/?repoid=f80f3f04-1bd5-41b1-ad51-9bfe639be6ed&id=61dab0b5-bd9a-480f-bcea-483b74ae6630&libObjID=aee098ea-071d-4150-8ce9-011eaf93643f&at=1&t=view&vt=graphical&scenarioID=anp_scenario_1_design_and_document&lang=en
4.1.2.1.1 Kinaxis Data Validation 1.00,Validate and correct data to be used in Kinaxis,Supply Chain Planning BPO,https://adonis-asm.de.boc-cloud.com/?repoid=f80f3f04-1bd5-41b1-ad51-9bfe639be6ed&id=36f3e0cf-9b67-40f6-9146-ba5d6268c3f1&libObjID=aee098ea-071d-4150-8ce9-011eaf93643f&at=1&t=view&vt=graphical&scenarioID=anp_scenario_1_design_and_document&lang=en
4.1.2.3 -EQ Develop demand consensus forecast - Monthly Process 1.00,Develop demand consensus forecast - Monthly Process,Supply Chain Planning BPO,https://adonis-asm.de.boc-cloud.com/?repoid=f80f3f04-1bd5-41b1-ad51-9bfe639be6ed&id=0b5549b2-bc21-43b1-98fc-dcb331f98a6d&libObjID=aee098ea-071d-4150-8ce9-011eaf93643f&at=1&t=view&vt=graphical&scenarioID=anp_scenario_1_design_and_document&lang=en
4.1.2.3 -EQ Develop demand consensus forecast - Weekly Process 1.00,Develop demand consensus forecast - Weekly Process,Supply Chain Planning BPO,https://adonis-asm.de.boc-cloud.com/?repoid=f80f3f04-1bd5-41b1-ad51-9bfe639be6ed&id=f501030a-9362-41f8-8139-d62799a9c404&libObjID=aee098ea-071d-4150-8ce9-011eaf93643f&at=1&t=view&vt=graphical&scenarioID=anp_scenario_1_design_and_document&lang=en
4.1.2.4 Determine available to promise (OFE Change Approval Ticket B Impact Analysis) 2.00,"The OFE Change Request process should be used if there is a new requirement from the Customer or if updates/corrections in the configurations are needed, after performing BOM manager approval. This process will include a review of costs, effort, and lead time before making decisions on implementation. If the change is approved then the process will include the actual order BOM update.
Only GOPS can decide that no OFE change request is needed and a change can be implemented with just an ETO ticket. See section criteria for details when this Process Change Request should be used, and if from within the process change request an ETO ticket should be created",R&D/Engineering BPO,https://adonis-asm.de.boc-cloud.com/?repoid=f80f3f04-1bd5-41b1-ad51-9bfe639be6ed&id=ce23947e-240f-4c51-aa81-be32bf9115da&libObjID=aee098ea-071d-4150-8ce9-011eaf93643f&at=1&t=view&vt=graphical&scenarioID=anp_scenario_1_design_and_document&lang=en
4.1.2.4A Develop available to promise Build Plan 1.00,Develop available to promise Build Plan,Supply Chain Planning BPO,https://adonis-asm.de.boc-cloud.com/?repoid=f80f3f04-1bd5-41b1-ad51-9bfe639be6ed&id=4dfed945-878d-4532-a43b-ebb5b70ac120&libObjID=aee098ea-071d-4150-8ce9-011eaf93643f&at=1&t=view&vt=graphical&scenarioID=anp_scenario_1_design_and_document&lang=en
4.1.2.4B Develop available to promise Build Plan 1.00,"APQC description
Identify the volume of products/services that may be committed for delivery to fulfill sales. Figure out the amount of stock available. Forecast its volumes.",Supply Chain Planning BPO,https://adonis-asm.de.boc-cloud.com/?repoid=f80f3f04-1bd5-41b1-ad51-9bfe639be6ed&id=e07174c8-4e12-4ee1-9c2f-1679cc30c4d4&libObjID=aee098ea-071d-4150-8ce9-011eaf93643f&at=1&t=view&vt=graphical&scenarioID=anp_scenario_1_design_and_document&lang=en
4.1.2.5 R&C Monitor activity against demand forecast and revise forecast 1.00,Monitor activity against demand forecast and revise forecast,Supply Chain Planning BPO,https://adonis-asm.de.boc-cloud.com/?repoid=f80f3f04-1bd5-41b1-ad51-9bfe639be6ed&id=1eb16514-e688-4923-9fc6-f8df55fe98ec&libObjID=aee098ea-071d-4150-8ce9-011eaf93643f&at=1&t=view&vt=graphical&scenarioID=anp_scenario_1_design_and_document&lang=en
4.1.2.6 -SP Evaluate and revise demand forecasting approach 2.00,Evaluate and revise demand forecasting approach,Supply Chain Planning BPO,https://adonis-asm.de.boc-cloud.com/?repoid=f80f3f04-1bd5-41b1-ad51-9bfe639be6ed&id=5c4fbfcf-1624-4846-9980-cf3defdcdcb4&libObjID=aee098ea-071d-4150-8ce9-011eaf93643f&at=1&t=view&vt=graphical&scenarioID=anp_scenario_1_design_and_document&lang=en
4.1.3 Create Materials Plan 2.00,Weekly approved Available-To-Promise Build Plan generated,Supply Chain Planning BPO,https://adonis-asm.de.boc-cloud.com/?repoid=f80f3f04-1bd5-41b1-ad51-9bfe639be6ed&id=8fb965f3-23e1-45b1-a323-9bb9dfcb46f7&libObjID=aee098ea-071d-4150-8ce9-011eaf93643f&at=1&t=view&vt=graphical&scenarioID=anp_scenario_1_design_and_document&lang=en
4.1.3.1 -FCST Create Unconstrained Plan 3.00,"Update LTP File
Create Forecast BOM
Upload Forecast Demand",Supply Chain Planning BPO,https://adonis-asm.de.boc-cloud.com/?repoid=f80f3f04-1bd5-41b1-ad51-9bfe639be6ed&id=e186534a-1598-4477-b8ac-b4549efe9b75&libObjID=aee098ea-071d-4150-8ce9-011eaf93643f&at=1&t=view&vt=graphical&scenarioID=anp_scenario_1_design_and_document&lang=en
4.1.3.1 -MRP Create Unconstrained Plan 2.00,"Key activities:
Load demandSources:
- Adhoc
- Equipment Forcecast aka PIR (Plant Independent Requirement)
- Spares forecast
Convert demandSource: Order BOM Autdrop mechanims: PIR (Forcecast) get consumed by actual orders) Resulting in:Purchase requisitions (buy items)
Planned Orders (make items)ert to unconstrained plan (forecast)",Supply Chain Planning BPO,https://adonis-asm.de.boc-cloud.com/?repoid=f80f3f04-1bd5-41b1-ad51-9bfe639be6ed&id=621d7787-7698-461d-a2dd-8a5786926e78&libObjID=aee098ea-071d-4150-8ce9-011eaf93643f&at=1&t=view&vt=graphical&scenarioID=anp_scenario_1_design_and_document&lang=en
4.1.3.1 -SP Create Unconstrained Plan 2.00,Create Unconstrained Spares Plan,Supply Chain Planning BPO,https://adonis-asm.de.boc-cloud.com/?repoid=f80f3f04-1bd5-41b1-ad51-9bfe639be6ed&id=9b163a2c-0a78-4bcc-a2fd-b22eef1afd14&libObjID=aee098ea-071d-4150-8ce9-011eaf93643f&at=1&t=view&vt=graphical&scenarioID=anp_scenario_1_design_and_document&lang=en
4.1.3.2 Collaborate with Supplier 1.00,This process describes the process where the forecast is automatically sent to the supplier thru email while a list is also generated and deposited to a shared drive. This is executed thru a batch job run.,Supply Chain Planning BPO,https://adonis-asm.de.boc-cloud.com/?repoid=f80f3f04-1bd5-41b1-ad51-9bfe639be6ed&id=b4dab436-05e9-4f26-8523-ac6e74fda610&libObjID=aee098ea-071d-4150-8ce9-011eaf93643f&at=1&t=view&vt=graphical&scenarioID=anp_scenario_1_design_and_document&lang=en
4.1.3.5 Generate Constrained Plan (DDMRP Evaluation and Calculation) 2.00,"Key Activities:
USe proposed buffer calculation
review, assess and act upon acceptance of buffer proposals
ddmrp only used for kanban part",Supply Chain Planning BPO,https://adonis-asm.de.boc-cloud.com/?repoid=f80f3f04-1bd5-41b1-ad51-9bfe639be6ed&id=65cc5f92-3df1-4706-ab99-0ff150d8d65d&libObjID=aee098ea-071d-4150-8ce9-011eaf93643f&at=1&t=view&vt=graphical&scenarioID=anp_scenario_1_design_and_document&lang=en
4.1.5 Plan distribution requirements 1.00,Plan distribution requirements -SP and -EQ,Supply Chain Planning BPO,https://adonis-asm.de.boc-cloud.com/?repoid=f80f3f04-1bd5-41b1-ad51-9bfe639be6ed&id=1cc2ef6a-539f-4140-a2ba-ab200c859389&libObjID=aee098ea-071d-4150-8ce9-011eaf93643f&at=1&t=view&vt=graphical&scenarioID=anp_scenario_1_design_and_document&lang=en
4.1.5.1 -EQ Maintain master data 1.00,Maintain equipment master data,Supply Chain Planning BPO,https://adonis-asm.de.boc-cloud.com/?repoid=f80f3f04-1bd5-41b1-ad51-9bfe639be6ed&id=c6f8cb0e-7374-4f44-b312-a87dcff28483&libObjID=aee098ea-071d-4150-8ce9-011eaf93643f&at=1&t=view&vt=graphical&scenarioID=anp_scenario_1_design_and_document&lang=en
4.1.5.1 -SP Maintain Master data 2.00,Maintain Spares Master data,Supply Chain Planning BPO,https://adonis-asm.de.boc-cloud.com/?repoid=f80f3f04-1bd5-41b1-ad51-9bfe639be6ed&id=6a26e05c-ec3b-4bba-9abc-7f36f8909d25&libObjID=aee098ea-071d-4150-8ce9-011eaf93643f&at=1&t=view&vt=graphical&scenarioID=anp_scenario_1_design_and_document&lang=en
4.1.7 Review distribution planning policies 1.00,"Review distribution planning policies
Establish dynamic deployment policies",Supply Chain Planning BPO,https://adonis-asm.de.boc-cloud.com/?repoid=f80f3f04-1bd5-41b1-ad51-9bfe639be6ed&id=002f9133-c0a5-4748-987a-f6ecccbac43a&libObjID=aee098ea-071d-4150-8ce9-011eaf93643f&at=1&t=view&vt=graphical&scenarioID=anp_scenario_1_design_and_document&lang=en
4.1.7.3 Establish dynamic deployment policies 2.00,Establish dynamic deployment policies,Supply Chain Planning BPO,https://adonis-asm.de.boc-cloud.com/?repoid=f80f3f04-1bd5-41b1-ad51-9bfe639be6ed&id=d75c0832-c77a-4009-8c1a-ac9a3a4586f2&libObjID=aee098ea-071d-4150-8ce9-011eaf93643f&at=1&t=view&vt=graphical&scenarioID=anp_scenario_1_design_and_document&lang=en
4.1.8 Develop Quality Standards 1.00,"Objective:
These sub processes related to setting up the master data from different business scenarios related to Quality processes: incoming inspection and calibration.
Scope:
Quality processes: incoming inspection and calibration.",Quality BPO,https://adonis-asm.de.boc-cloud.com/?repoid=f80f3f04-1bd5-41b1-ad51-9bfe639be6ed&id=d75f4923-106a-4dc1-a9d8-ea278c8adbc5&libObjID=aee098ea-071d-4150-8ce9-011eaf93643f&at=1&t=view&vt=graphical&scenarioID=anp_scenario_1_design_and_document&lang=en
4.1.8.1A Master Inspection Characteristic 1.00,"Objective: Defines what needs to be inspected and is linked to specific inspection methods and sampling procedures.
Master Inspection Characteristics (MIC):
MICs are predefined attributes or parameters that need to be inspected, such as dimensions, weight, or color.
They are used in inspection plans to standardize the inspection process across different products and lots.
MICs are linked to sampling procedures and inspection methods to define how and what to inspect.",Quality BPO,https://adonis-asm.de.boc-cloud.com/?repoid=f80f3f04-1bd5-41b1-ad51-9bfe639be6ed&id=2fd87e7e-a43a-4b6b-97d3-33b55bb3a873&libObjID=aee098ea-071d-4150-8ce9-011eaf93643f&at=1&t=view&vt=graphical&scenarioID=anp_scenario_1_design_and_document&lang=en
4.1.8.1B Sampling Procedure 1.00,"Sampling Plan:
A sampling plan outlines the sequence of sampling operations and the specific characteristics to be inspected.
It includes the master inspection characteristics (MICs), sampling procedures, and inspection methods.
The sampling plan ensures that all necessary inspections are performed consistently and according to predefined standards.",Quality BPO,https://adonis-asm.de.boc-cloud.com/?repoid=f80f3f04-1bd5-41b1-ad51-9bfe639be6ed&id=98cc1524-2ddc-4cfd-ba16-9977dd899827&libObjID=aee098ea-071d-4150-8ce9-011eaf93643f&at=1&t=view&vt=graphical&scenarioID=anp_scenario_1_design_and_document&lang=en
4.1.8.1C Sampling Scheme 1.00,"Objective is to create the sampling scheme/frequency as per Acceptance Quality Level (For example AQL1.0)
A sampling scheme is used within the Quality Management (QM) module to determine the sample size for an inspection based on various factors such as lot size, inspection severity, and Acceptable Quality Level (AQL).",Quality BPO,https://adonis-asm.de.boc-cloud.com/?repoid=f80f3f04-1bd5-41b1-ad51-9bfe639be6ed&id=8e32f514-1c91-45ad-a232-15ed77c84237&libObjID=aee098ea-071d-4150-8ce9-011eaf93643f&at=1&t=view&vt=graphical&scenarioID=anp_scenario_1_design_and_document&lang=en
4.1.8.1D Dynamic Modification Rule (DMR) 1.00,"Dynamic Modification Rule (DMR):
DMRs adjust the inspection scope based on the quality history of the supplier or product. They help in dynamically changing the inspection severity (e.g., from normal to reduced) based on past inspection results.
DMRs are associated with sampling procedures to modify the sample size and inspection frequency dynamically.
This DMR will prevent that the respective Quality Engineer need to manually keep track of the number of tight inspections needed, before setting the inspection back to normal sample frequency or when we can skip inspection.
The scope of this diagram is to update or make DMR if needed or requested.",Quality BPO,https://adonis-asm.de.boc-cloud.com/?repoid=f80f3f04-1bd5-41b1-ad51-9bfe639be6ed&id=2026c5bf-fbff-4599-8c1e-d7a980a073e8&libObjID=aee098ea-071d-4150-8ce9-011eaf93643f&at=1&t=view&vt=graphical&scenarioID=anp_scenario_1_design_and_document&lang=en
4.1.8.1E Assign Sampling Procedure to DMR 1.00,"Sampling Plan:
A sampling plan outlines the sequence of sampling operations and the specific characteristics to be inspected.
It includes the master inspection characteristics (MICs), sampling procedures, and inspection methods.
The sampling plan ensures that all necessary inspections are performed consistently and according to predefined standards.",Quality BPO,https://adonis-asm.de.boc-cloud.com/?repoid=f80f3f04-1bd5-41b1-ad51-9bfe639be6ed&id=3bc49373-2844-4d80-8e99-0aece6987faa&libObjID=aee098ea-071d-4150-8ce9-011eaf93643f&at=1&t=view&vt=graphical&scenarioID=anp_scenario_1_design_and_document&lang=en
4.1.8.1F Inspection method 1.00,"Creating inspection method
In SAP, an inspection method is a key component within the Quality Management (QM) module. It defines the procedure for inspecting a characteristic and ensures consistency and standardization in quality inspections. Here are the main functions of an inspection method in SAP:
Standardization:Inspection methods help standardize the inspection process across different plants and departments by providing a consistent approach to inspecting specific characteristics.
Assignment to Characteristics:They can be assigned to master inspection characteristics or directly to inspection characteristics in an inspection plan, ensuring that the correct inspection procedures are followed.
Documentation: Inspection methods include detailed instructions and criteria for performing inspections, which can be documented and linked to relevant documents, such as drawings or specific inspection instructions.
Quality Control:By defining the inspection procedures, inspection methods help maintain quality control and ensure that products meet specified standards and requirements.
Efficiency:Using predefined inspection methods can streamline the inspection process, reduce errors, and improve overall efficiency in quality management.",Quality BPO,https://adonis-asm.de.boc-cloud.com/?repoid=f80f3f04-1bd5-41b1-ad51-9bfe639be6ed&id=e2a2dc84-155e-4976-a678-40b3e30abe15&libObjID=aee098ea-071d-4150-8ce9-011eaf93643f&at=1&t=view&vt=graphical&scenarioID=anp_scenario_1_design_and_document&lang=en
4.1.8.1G Catalogs - Code group 1.00,"The objective of this diagram is to create cause code and defect code with classifications.
E.g. type of defect, scratch, packaging issue etc.",Quality BPO,https://adonis-asm.de.boc-cloud.com/?repoid=f80f3f04-1bd5-41b1-ad51-9bfe639be6ed&id=83f81876-a2ea-4404-9ae6-1bc3c7da4685&libObjID=aee098ea-071d-4150-8ce9-011eaf93643f&at=1&t=view&vt=graphical&scenarioID=anp_scenario_1_design_and_document&lang=en
4.1.8.1H Establish Quality Targets (Create Equipment Master for Tools under calibration ) 2.00,"In SAP, creating an equipment task list within the Plant Maintenance (PM) module serves several important functions:
Centralized Maintenance Tasks:
Equipment task lists allow you to centrally define and manage maintenance tasks for specific pieces of equipment. This ensures that all maintenance activities are standardized and consistently applied.
Efficiency in Planning: By using equipment task lists, you can plan recurring maintenance activities more effectively. This saves time when creating maintenance orders and maintenance plans, as the predefined tasks can be quickly applied.
Standardization: Task lists help standardize maintenance procedures across different pieces of equipment, ensuring that the same high standards are maintained throughout the organization.
Simplified Maintenance Management: Any updates or changes to the task list are automatically reflected in all associated maintenance plans and orders. This simplifies the management and ensures that all maintenance activities are up-to-date.
Integration with Maintenance Plans: Equipment task lists can be integrated into maintenance plans, allowing for systematic scheduling and execution of maintenance tasks.",Manufacturing BPO,https://adonis-asm.de.boc-cloud.com/?repoid=f80f3f04-1bd5-41b1-ad51-9bfe639be6ed&id=f13ef370-6456-4d9d-a723-ccb6efe769ad&libObjID=aee098ea-071d-4150-8ce9-011eaf93643f&at=1&t=view&vt=graphical&scenarioID=anp_scenario_1_design_and_document&lang=en
4.1.8.1J Quality info record data 2.00,"The objective of this process diagram is to define if an inspection of a material from a specific supplier is needed.
And also what kind of inspection, like first article etc.",Quality BPO,https://adonis-asm.de.boc-cloud.com/?repoid=f80f3f04-1bd5-41b1-ad51-9bfe639be6ed&id=f269edf9-cc0a-494a-a69e-13c72fb4a841&libObjID=aee098ea-071d-4150-8ce9-011eaf93643f&at=1&t=view&vt=graphical&scenarioID=anp_scenario_1_design_and_document&lang=en
4.1.8.2A Inspection Plan 2.00,"An inspection plan is a structured set of instructions and procedures designed to evaluate, control, and improve the quality of products or processes
An Inspection plan Contains MICs, each linked to a Sampling Procedure and an Inspection Method.",Quality BPO,https://adonis-asm.de.boc-cloud.com/?repoid=f80f3f04-1bd5-41b1-ad51-9bfe639be6ed&id=e4712108-5d28-4cc2-9dcf-6566b8ee9488&libObjID=aee098ea-071d-4150-8ce9-011eaf93643f&at=1&t=view&vt=graphical&scenarioID=anp_scenario_1_design_and_document&lang=en
