Tcode Name,Description
ARCSTONE (Production Status Board),"Production Status Board
System ID: S2-01
Imported from ASM Systems list for TRANS4M! on 2024-04-23"
ARENA (Product Life Cycle @Reno) (Arena / Prostep),"PLM (Reno)
System ID: S1-19
Imported from ASM Systems list for TRANS4M! on 2024-04-23"
ASM Corporate Site (Microsoft),"Sharepoint
System module ID: SB-11
Imported from ASM Systems list for TRANS4M! on 2024-04-23"
ASM Extranet (Microsoft),"Sharepoint
System module ID: SB-12
Imported from ASM Systems list for TRANS4M! on 2024-04-23"
ASM Intranet (Microsoft),"Sharepoint
System module ID: SB-13
Imported from ASM Systems list for TRANS4M! on 2024-04-23"
ASM Processes Library (BMS),
AutoCAD (2/3D Design Authoring) (Autodesk),"System ID: S1-30
Imported from ASM Systems list for TRANS4M! on 2024-04-23"
AZTRAL (Supply Chain Analytics & Agility Planning),"Supply Chain Analytics & Agility Planning
System ID: S4-01
Imported from ASM Systems list for TRANS4M! on 2024-04-23"
Bank Portal,
Barcode Scanner,
BlackLine BlackLine: (Financial Closing),"Financial Closing Automation system
System ID: S7-02
Imported from ASM Systems list for TRANS4M! on 2024-04-23"
"BPS (Break, Pack and Ship) (Microsoft .NET)","Break, Pack and Ship
System module ID: SB-02
Imported from ASM Systems list for TRANS4M! on 2024-04-23"
BW (Business Warehouse) org,
C2FO (Working Capital),"Working Capital Solution
System ID: S7-13
Imported from ASM Systems list for TRANS4M! on 2024-04-23"
CAD Authoring application org,
CATS_DA,
Celonis (Process Mining),"Process Mining
System ID: SA-13
Imported from ASM Systems list for TRANS4M! on 2024-04-23"
CIDEON CE (Conversion Engine),"CIDEON Conversion Engine
System ID: S1-01
Imported from ASM Systems list for TRANS4M! on 2024-04-23"
CIdeon LPE Integration,"System ID: S1-32
Imported from ASM Systems list for TRANS4M! on 2024-04-23"
CIDEON View Manager (Document Stamping Engine),"System ID: S1-02
Imported from ASM Systems list for TRANS4M! on 2024-04-23"
Colab (File exchange and Collaboration),"System ID:
Imported from ASM Systems list for TRANS4M! on 2024-04-23"
Corima TMS,"TMS: Treasury Management System
System ID: S7-14
Imported from ASM Systems list for TRANS4M! on 2024-04-23"
CREO (PTC) (formerly; Parametric Technology Corporation),"CREO Client Software to draw (Mechanical CAD)
System ID: S1-03
Imported from ASM Systems list for TRANS4M! on 2024-04-23"
Creo Simulate org,
"CTSI Freight (Continental Traffic Service, Inc)","CTSI Freight
System ID: S7-09
Imported from ASM Systems list for TRANS4M! on 2024-04-23"
Custom Fiori App,
Data Lark (Data management and migration) (LeverX),"System ID: S1-34
Imported from ASM Systems list for TRANS4M! on 2024-04-23"
Datalake (data repository) (Microsoft),"Yes
System ID: S9-05
Imported from ASM Systems list for TRANS4M! on 2024-04-23"
DAYFORCE (Human Resource platform) (formerly Ceredian),"Pay Adjustment from SAP Time-writting Hours (CATS) to Dayforce US payroll system (US)
System ID: S10-04
Imported from ASM Systems list for TRANS4M! on 2024-04-23"
Docusign,Docusign eSignature
"DocuSign (Send, sign and manage legally binding document)","Send, sign and manage legally binding document
System ID: SB-05
Imported from ASM Systems list for TRANS4M! on 2024-04-23"
eGUI (Taiwan) (tax solution),"Taiwan eGUI tax solution
System ID: S7-04
Imported from ASM Systems list for TRANS4M! on 2024-04-23"
eInvoicing (LPE),"eInvoicing System (LPE)
System ID: S7-10
Imported from ASM Systems list for TRANS4M! on 2024-04-23"
"ENABLON - SFTP (Environment, Health & Safety) (Wolters Kluwer)","Environment, Health & Safety
System module ID: SB-01
Imported from ASM Systems list for TRANS4M! on 2024-04-23"
ENABLON (Health & Safety) (Arcadis),"Environment, Health & Safety
System ID: SB-01
Imported from ASM Systems list for TRANS4M! on 2024-04-23"
EPLAN (Electric design authoring),"System ID: S1-33
Imported from ASM Systems list for TRANS4M! on 2024-04-23"
EPLAN (incl Harness proD) (Electric design authoring),"EPLAN Client Software to draw (Electrical CAD)
System ID: S1-05
Imported from ASM Systems list for TRANS4M! on 2024-04-23"
Example IT System/Tool,
FEM SRD (Shipment Release Documentation) (Microsoft .NET),"Shipment Release Documentation
System module ID: SB-02
Imported from ASM Systems list for TRANS4M! on 2024-04-23"
Fiori /SAPAPO/AMON1: Alert Monitor for Production Planner - Advanced Planning,"This app is a SAP GUI for HTML transaction.
These classic transactions are available in the SAP Fiori theme to support a seamless user experience across the SAP Fiori launchpad and to provide a harmonized user experience across on-premise and cloud solutions.
The single point of entry for SAP Fiori apps and classic applications in SAP S/4HANA Cloud Private Edition and SAP S/4HANA is the SAP Fiori launchpad."
Fiori /SAPAPO/AMON3: Alert Monitor Overview,
Fiori /SAPAPO/CALENDAR: Maintain Calendar,
"Fiori /SAPAPO/CDPS_REPT: Create Evaluations - Orders, Operations, Resource, WIP for Production Planner - Advanced Planning",
Fiori /SAPAPO/CDPSB0: Production Planning Run for Production Planner - Advanced Planning,
Fiori /SAPAPO/CDPSB1: Alert Monitor for Production Planner - Advanced Planning,"This app is a SAP GUI for HTML transaction. These classic transactions are available in the SAP Fiori theme to support a seamless user experience across the SAP Fiori launchpad and to provide a harmonized user experience across on-premise and cloud solutions.
The single point of entry for SAP Fiori apps and classic applications in SAP S/4HANA Cloud Private Edition and SAP S/4HANA is the SAP Fiori launchpad."
Fiori /SAPAPO/CDPSS0: Maintain Simulation Versions for Production Planner - Advanced Planning,
Fiori /SAPAPO/CULL_RTO_DEL: Delete Production Data Structures for Production Planner - Advanced Planning,
Fiori /SAPAPO/CURTO_SIMU: Display Production Data Structures for Production Planner - Advanced Planning,
Fiori /SAPAPO/LOC3: Maintain Location,"If this transaction shows up as un-available e.g. in the GUI, add /N as prefix."
Fiori /SAPAPO/MAT1: Maintain Product,
Fiori /SAPAPO/PE_LOG_DISP: Display Logs - Service Manager,
Fiori /SAPAPO/PE_RUN: Manage Planning Services,"If this transaction shows up as un-available e.g. in the GUI, add /N as prefix."
Fiori /SAPAPO/PROD_DISP: Display Products Assigned to a BOD,
Fiori /SAPAPO/PWBSCH1: Create Release - Purg. Sched. Agreement,
Fiori /SAPAPO/PWBSCH2: Issue Release - Purg. Sched. Agreement,
Fiori /SAPAPO/PWBSRC1: Maintain Ext. Proc. Relationships for Production Planner - Advanced Planning,
Fiori /SAPAPO/RELHSHOW: Define Transportation Zone Hierarchy Maintain Hierarchy,
Fiori /SAPAPO/RRP3: Product View,
Fiori /SAPAPO/SCC_TL1: Maintain Transportation Lanes. Maintain Transportation Lanes - Advanced for Production Planner - Advanced Planning,
Fiori /SAPAPO/SCC_TL2: Create Transportation Lanes - Mass Creation. Mass Change to Transportation Lanes - Advanced for Production Planner - Advanced Planning,
Fiori /SAPAPO/SCC_TQ1: Maintain Quota Arrangements for Production Planner - Advanced Planning,
Fiori /SAPAPO/SPP_ALERT_MO: Display Alert Monitor,
Fiori /SAPAPO/SPP_ALERT_SU: Display Alert Summary,"If this transaction shows up as un-available e.g. in the GUI, add /N as prefix."
Fiori /SAPAPO/SPP_COCKPIT: Display eSPP Cockpit,"If this transaction shows up as un-available e.g. in the GUI, add /N as prefix."
Fiori /SAPAPO/SPP_NOTE_ANA: Manage Analyst Note,"If this transaction shows up as un-available e.g. in the GUI, add /N as prefix."
Fiori /SAPAPO/SPP_SHORT_MO: Display Shortage Monitor,"If this transaction shows up as un-available e.g. in the GUI, add /N as prefix."
Fiori /SAPAPO/SPP_SHORT_OV: Display Shortage Overview,
Fiori /SAPAPO/SPPDEPL: Manage Deployment for Supply Planner - Service Parts,
Fiori /SAPAPO/SPPDRPAPPR: Approve DRP Results for Supply Planner - Service Parts,
Fiori /SAPAPO/SPPDRPM: Manage DRP Matrix for Supply Planner - Service Parts,
Fiori /SAPAPO/SPPDRPPR: Manage DRP Planning Lock for Supply Planner - Service Parts,
Fiori /SAPAPO/SPPDRPSB: Manage External Procurement - Schedule Board for Supply Planner - Service Parts,
Fiori /SAPAPO/SPPFCST: Manage Forecast for Demand Planner - Service Parts,
Fiori /SAPAPO/SPPFCSTAPPR: Approve Forecast for Demand Planner - Service Parts,
Fiori /SAPAPO/SPPFCSTPRF: Manage Forecast Profile for Demand Planner - Service Parts,
Fiori /SAPAPO/SPPFIXREQ: Manage Fixed Demands and Fixed Receipts for Supply Planner - Service Parts,
Fiori /SAPAPO/SPPINVAPPR: Approve Stocking/Destocking for Inventory Planner - Service Parts,
Fiori /SAPAPO/SPPINVP: Manage EOQ & Safety Stock for Inventory Planner - Service Parts,
Fiori /SAPSLL/BL_DOC_SD_R3: Display Blocked Export Documents for Internal Sales Representative,
Fiori /SAPSLL/LCLIC01: Display License for Trade Compliance Specialist,
Fiori /SCWM/ADHU: Create Warehouse Tasks - Handling Units for Warehouse Clerk (Extended Warehouse Management),
Fiori /SCWM/ADPROD: Create Warehouse Tasks - Product for Warehouse Clerk (Extended Warehouse Management),
Fiori /SCWM/BINMAT: Assign Fixed Bins for Warehouse Clerk (Extended Warehouse Management),
Fiori /SCWM/CANCPICK: Cancel Picking for Warehouse Clerk (Extended Warehouse Management),
Fiori /SCWM/DIFF_ANALYZER: Analyze Differences for Warehouse Clerk (Extended Warehouse Management),
Fiori /SCWM/DLV_GIPSA: Post Goods Issue - Production Supply Area,
Fiori /SCWM/ERP_STOCKCHECK: Compare Stock - Inventory Management for Warehouse Clerk (Extended Warehouse Management),
Fiori /SCWM/FBINASN: Assign Fixed Storage Bins,
Fiori /SCWM/FBINDEL: Delete Fixed Bin Assignment - Storage Bins,
Fiori /SCWM/GCMC: Create Condition Records - Slotting,
Fiori /SCWM/IDN: Inbound Delivery Notifications for Warehouse Clerk (Extended Warehouse Management),
Fiori /SCWM/LS01: Create Storage Bins for Warehouse Clerk (Extended Warehouse Management),
Fiori /SCWM/LS02: Edit Storage Bins for Warehouse Clerk (Extended Warehouse Management),
Fiori /SCWM/LS03: Display Storage Bins for Warehouse Clerk (Extended Warehouse Management),
Fiori /SCWM/LS10: Mass Create Storage Bins,
Fiori /SCWM/LS11: Mass Edit Storage Bins for Warehouse Clerk (Extended Warehouse Management),
Fiori /SCWM/LX45: Edit Verification Fields - Storage Bin,
Fiori /SCWM/MAT1: Maintain Products - Warehouse Data for Warehouse Clerk (Extended Warehouse Management),
Fiori /SCWM/MON: Warehouse Monitor for Warehouse Clerk (Extended Warehouse Management),
Fiori /SCWM/PACK: Pack Handling Units - Advanced for Warehouse Operative (Extended Warehouse Management),
Fiori /SCWM/PACKSPEC: Maintain Packaging Specification for Warehouse Clerk (Extended Warehouse Management),
Fiori /SCWM/PACKSTDT: Determine Work Center - Goods Issue,
Fiori /SCWM/PI_CC_CREATE: Create Inventory Documents - Cycle Counting,
Fiori /SCWM/PI_COMPL_CHECK: Check Complete Count - Product,
Fiori /SCWM/PI_COUNT: Count Physical Inventory for Warehouse Clerk (Extended Warehouse Management),
Fiori /SCWM/PI_COUNTLIST: Count Physical Inventory - List for Warehouse Clerk (Extended Warehouse Management),
Fiori /SCWM/PI_CREATE: Create Physical Inventory - Documents for Warehouse Clerk (Extended Warehouse Management),
Fiori /SCWM/PI_DOC_CREATE: Create Inventory Documents - Physical Inventory,
Fiori /SCWM/PI_DOWNLOAD: Download Bins or Stock Items - Physical Inventory,
Fiori /SCWM/PI_PROCESS: Process Physical Inventory for Warehouse Clerk (Extended Warehouse Management),
Fiori /SCWM/PI_UPLOAD: Upload Bins or Count Results - Physical Inventory for Warehouse Clerk (Extended Warehouse Management),
Fiori /SCWM/PI_USER_DIFF: Assign Tolerance Group - Differences for Warehouse Clerk (Extended Warehouse Management),
Fiori /SCWM/PMR: Production Material Requests for Warehouse Clerk (Extended Warehouse Management),
Fiori /SCWM/POST: Create Posting Changes for Warehouse Clerk (Extended Warehouse Management),
Fiori /SCWM/PRBIN: Print Storage Bin Labels for Warehouse Clerk (Extended Warehouse Management),
Fiori /SCWM/PRDI: Maintain Inbound Deliveries for Warehouse Clerk (Extended Warehouse Management),
Fiori /SCWM/PRDO: Outbound Delivery Orders for Warehouse Clerk (Extended Warehouse Management),
Fiori /SCWM/PRDVC: Maintain Presentation Devices,
Fiori /SCWM/PRFIXBIN: Print Fixed Bin Labels for Warehouse Clerk (Extended Warehouse Management),
Fiori /SCWM/PRPI_DOC: Print Count Documents - Physical Inventory,
Fiori /SCWM/QIDPR: Quality Inspection Documents - Product for Warehouse Clerk (Extended Warehouse Management),
Fiori /SCWM/QSEQ: Define Queue Sequence - Resource Group,
Fiori /SCWM/RFUI: Test RF Environment for Warehouse Operative (Extended Warehouse Management),
Fiori /SCWM/RGRP: Maintain Resource Groups,
Fiori /SCWM/RSRC: Maintain Resources for Warehouse Clerk (Extended Warehouse Management),
Fiori /SCWM/RWOCR: Create Warehouse Orders - Manual for Warehouse Clerk (Extended Warehouse Management),
Fiori /SCWM/SBST: Sort Storage Bins,
Fiori /SCWM/SBUP: Upload Storage Bins,
Fiori /SCWM/SER_CON_CHECK: Adjust Serial Numbers - Warehouse,
Fiori /SCWM/SLOT: Perform Slotting,
Fiori /SCWM/SLOTOCC: Simulate Slotting,
Fiori /SCWM/SRTUP: Upload Storage Bin Sorting,
Fiori /SCWM/STAGE: Create Warehouse Tasks - Staging for Production,"This app is a SAP GUI for HTML transaction. These classic transactions are available in the SAP Fiori theme to support a seamless user experience across the SAP Fiori launchpad and to provide a harmonized user experience across on-premise and cloud solutions.
The single point of entry for SAP Fiori apps and classic applications in SAP S/4HANA Cloud Private Edition and SAP S/4HANA is the SAP Fiori launchpad."
Fiori /SCWM/TO_CONF: Confirm Warehouse Tasks - Advanced for Warehouse Clerk (Extended Warehouse Management),
Fiori /SCWM/TODLV_I: Create Warehouse Tasks - Inbound Delivery for Warehouse Clerk (Extended Warehouse Management),
Fiori /SCWM/TODLV_M: Create Warehouse Tasks - Stock Transfer,
Fiori /SCWM/TODLV_O: Create Warehouse Tasks - Outbound Delivery Order for Warehouse Clerk (Extended Warehouse Management),
Fiori /SCWM/TODLV_T: Create Warehouse Tasks - Posting Change for Warehouse Clerk (Extended Warehouse Management),
Fiori /SCWM/WAVE: Process Waves for Warehouse Clerk (Extended Warehouse Management),
Fiori /SCWN/LX45: Edit Verification Fields - Storage Bin,
Fiori /SRMSMC/WDA_QLB_OVP_MAIN (): Manage Questions - Evaluation,"Attentions: ""()"" brackets prove to be part of the App ID
See: The field App ID in the Fiori Apps Reference Library"
Fiori : Create Activity - Procurement,"App ID: /SRMSMC/WDA_ACT ()
acc SAP Fiori Apps Reference Library"
Fiori 1KE4: Profit Center Assignment Monitor for Divisional Accountant,
Fiori AB08: Reverse Journal Entry - Asset Accounting-Specific for Asset Accountant,
Fiori ABAA: Post Unplanned Depreciation,
Fiori ABAAL: Post Depreciation Manually - Unplanned and Planned for Asset Accountant,
Fiori ABAON: Post Retirement (Non-Integrated) - Without Customer for Asset Accountant,
Fiori ABAVN: Post Retirement - By Scrapping for Asset Accountant,
Fiori ABAWL: Post Asset Revaluation for Asset Accountant,
Fiori ABMA: Post Manual Depreciation,
Fiori ABT1L: Asset Transfer Intercompany for Asset Accountant,
"Fiori ABT1N: Post Transfer - Across Company Codes, Post Transfer - Across Company Codes Within the Same Country for Asset Accountant",
Fiori ABUMN: Post Transfer - Within Company Code for Asset Accountant,
Fiori ABZU: Post Writeup,
Fiori ABZUL: Post Writeup for Asset Accountant,
Fiori ACEPOSTINGRUN: Periodic Posting Run,
Fiori ACEPROPOSALRUN: Propose Period Amounts,
Fiori ADSUBCON: SUBCONTRACTING Monitor,
Fiori AIAB: Define Distribution Rules - For AuC for Asset Accountant,
Fiori AIBU: Execute Settlement - For AuC for Asset Accountant,
Fiori AQ13: Display Usage Decision,
Fiori AR02: Asset History Sheet,
Fiori AR18N: Depreciation Forecast,
Fiori AS01: Create Asset for Asset Accountant,
Fiori AS02: Change Asset for Asset Accountant,
Fiori AS03: Display Asset for Asset Accountant,
Fiori AS05: Block Asset for Asset Accountant,
Fiori AS06: Delete Asset for Asset Accountant,
Fiori AS11: Create Asset Subnumber for Asset Accountant,
Fiori AS91: Create Asset Master Record - For Legacy Asset for Asset Accountant,
Fiori ASM Custom: Compare Supplier Quotations,"16 Aug 24 Is this app Based On??F2324??: Compare Supplier Quotations for Purchaser
Awaiting ASM ID or other unique references to be added"
Fiori ASM_Custom: Create RFQ,"16 Aug 24 Based On ?????
Awaiting ASM ID or other unique reference"
Fiori ASM_Custom: RFQ Output,"16 Aug 24
Based On ?????
awaiting ASM ID or other unique reference to be added"
Fiori ASM_Custom_XXXX2: NC (Non Conformance),"SAP Fiori - Non Conformance
System module ID: SA-09.01
Imported from ASM Systems list for TRANS4M! on 2024-04-23"
Fiori AW01N: Asset Values for Asset Accountant,
Fiori BMBC: Batch Information Cockpit,
Fiori BP: Brokers. Define Business Partner. Maintain Business Partner,
Fiori BUB1: Create BP relationship,
Fiori C033: Display Standard Trigger Point,
Fiori C223: Manage Production Versions. Manage Production Versions - C223,
Fiori CA01: Create Routing for Production Engineer - Discrete Manufacturing,
Fiori CA02: Change Routing for Production Engineer - Discrete Manufacturing,
Fiori CA03: Display Routing,
Fiori CA11: Create Reference Routing for Production Engineer - Discrete Manufacturing,
Fiori CA12: Change Reference Routing for Production Engineer - Discrete Manufacturing,
Fiori CA13: Display Reference Routing for Production Engineer - Discrete Manufacturing,
Fiori CA70: Display Usage of PRTs in Routings,
Fiori CA80: Usage of Work Centers - In Routings,
Fiori CC01: Copy Change Master. Create Change Master,
Fiori CC02: Change Change Master,
Fiori CC03: Display Change Master,
Fiori CC04: Display in Product Structure Browser,
"Fiori CC11: Assign Revision Level to Material, Create Material Revision Level",
"Fiori CC12: Change Material Revision Level, Change Material Revision Level - DEPRECATED",
"Fiori CC13: Display Material Revision Level, Display Material Revision Level - DEPRECATED",
Fiori CF01: Create PRT for Production Engineer - Discrete Manufacturing (Production Resource \ Tool),
Fiori CF02: Change PRT for Production Engineer - Discrete Manufacturing (Production Resource \ Tool),
Fiori CF03: Display PRT for Production Engineer - Discrete Manufacturing (Production Resource \ Tool),
Fiori CJ01: Create Project,
Fiori CJ02: Change Project for Project Manager (Commercial Project Management),
Fiori CJ03: Display Project for Project Manager (Commercial Project Management),
Fiori CJ06: Create Project Definition,
Fiori CJ07: Change Project Definition for Project Manager (Commercial Project Management),
Fiori CJ08: Display Project Definition for Project Manager (Commercial Project Management),
Fiori CJ11: Create WBS Element,
Fiori CJ12: Change WBS Element,
Fiori CJ13: Display WBS Element,
Fiori CJ20: Change Structure Planning,
Fiori CJ20N: Project Builder,
Fiori CJ22: Display Basic Dates,
Fiori CJ24: Display Forecast Dates,
Fiori CJ26: Display Actual Dates,
Fiori CJ2A: Display Structure Planning,
Fiori CJ2C: Display Project Planning Board,
Fiori CJ30: Edit Original Budget - Projects for Cost Accountant - Overhead,
Fiori CJ31: Display Original Budget - Projects for Cost Accountant - Overhead,
Fiori CJ32: Edit Budget Release - Projects for Cost Accountant - Overhead,
Fiori CJ33: Display Project Budget Release for Cost Accountant - Overhead,
Fiori CJ36: Post Budget Supplement to Project - Projects for Cost Accountant - Overhead,
Fiori CJ38: Edit Budget Return - Projects for Cost Accountant - Overhead,
Fiori CJ3B: Display Budget Documents - Projects,
Fiori CJ70: Edit Project Settlement Line Items - Projects,
Fiori CJ88: Run Settlement - Projects - Actual for Cost Accountant - Overhead,
Fiori CJ8G: Run Actual Settlement - Projects -Collective,
Fiori CJ91: Create Standard WBS,
Fiori CJ92: Change Standard WBS,
Fiori CJ93: Display Standard WBS,
Fiori CJBV: Activate Availability Control - Projects,
Fiori CJBW: Deactivate Availability Control - Projects,
Fiori CJC1: Check Validity Date for Status,
Fiori CJCF: Carry Forward Commitments - Projects,
Fiori CJCO: Carry Forward Project Budget,
Fiori CJCS: Display Change Documents,
Fiori CJE0: Execute Hierarchy Report,
Fiori CJE3: Display Project Report,
Fiori CJE5: Hierarchy Reports - Change Form,
Fiori CJE6: Hierarchy Reports - Display Form,
Fiori CJI3: Display Actual Costs and Revenues - DEPRECATED,"Attention:
Status: Deprecated for selected release version
(2024/05/23 Acc to: App details by SAP Fiori Apps Reference Library - see Attachments -)"
"Fiori CJI3N: Display Project Actual Cost Line Items, Project Actual Cost Line Items for Project Financial Controller",
Fiori CJI4: Display Planned Costs and Revenues,
Fiori CJI5: Display Commitments,
Fiori CJI8: Display Budget,
Fiori CJIF: Display Project Result Analysis,
Fiori CJSG: Generate WBS Element Group,
Fiori CJV3: Display Simulation,
Fiori CJV7: Display Log,
Fiori CK11N: Create Material Cost Estimates for Cost Accountant - Inventory,
Fiori CK13N: Display Material Cost Estimates for Cost Accountant - Inventory,
Fiori CK24: Price Update: Mark Standard Price,
Fiori CK40N: Edit Costing Run for Cost Accountant - Inventory,
Fiori CK51N: Cost Sales Orders - Single for Cost Accountant - Sales,
Fiori CK53N: Display Sales Order Cost Estimates for Cost Accountant - Sales,
Fiori CK55: Cost Sales Orders - Multi for Cost Accountant - Sales,
Fiori CK79_99: Comparison of Itemizations for Cost Accountant - Inventory,
Fiori CK80_99: Cost Components - Materials for Cost Accountant - Inventory,
Fiori CK84_99: Itemization - Materials for Cost Accountant - Inventory,
Fiori CK85_99: Itemization - Sales Orders for Cost Accountant - Sales,
Fiori CK85_99_COST_ELEMENT: Analyze Cost Element Itemization - Grouped,
Fiori CK86: Costed Multilevel BOM - Materials for Cost Accountant - Inventory,
Fiori CK86_99: Costed Multilevel BOM - Materials for Cost Accountant - Inventory,
Fiori CK88_99: Partner Cost Components for Cost Accountant - Inventory,
Fiori CK89_99: Cost Components - Sales Orders for Cost Accountant - Sales,
Fiori CKAPP01: Display Uncosted Materials for Cost Accountant - Inventory,
Fiori CKAPP03: Display Uncosted Sales Order Items for Cost Accountant - Sales,
Fiori CKC1: Check Costing Variants for Cost Accountant - Inventory,
Fiori CKM3N: Material Price Analyses for Cost Accountant - Inventory,
Fiori CKMATSEL: Create Selection Lists for Cost Accountant - Inventory,
Fiori CKME: Release Planned Price Changes,
Fiori CKMLCP: Edit Actual Costing Runs for Cost Accountant - Inventory,
Fiori CKMM: Change Price Determination for Cost Accountant - Inventory,
"Fiori CKMPCD: Display Price Change Documents, Display Price Changes",
Fiori CKMPCSEARCH: Material Price Change Documents for Cost Accountant - Inventory,
Fiori CKMPRPN: Enter Future Prices,
Fiori CKR1: Reorganize Cost Estimates for Cost Accountant - Inventory,
Fiori CL01: Create Classes,
Fiori CL02: Display Class. Manage Classes,
"Fiori CL03: Display Class, Display Classes",
Fiori CL30N: Find Objects in Classes,
Fiori CL31: Find Objects In Class Type,
Fiori CL6AN: Display Class List,
Fiori CL6BN: Display Object List,
Fiori CL6C: Display Class Hierarchy,
Fiori CL6O: Display Object Comparison,
"Fiori CLHP: Maintain Class Hierarchy, Manage Class Hierarchy",
Fiori CLM10: Claim Overview,
Fiori CLMM: Manage Assigned Values,
Fiori CM01: Cap. planning. work center load,
Fiori CN05: Display Project Texts,
Fiori CN13: Display Standard Milestone,
Fiori CN21: Create Network,
Fiori CN22: Change Network for Project Manager (Commercial Project Management),
Fiori CN23: Display Network for Project Manager (Commercial Project Management),
Fiori CN25: Confirm Completions in Network for Project Logistics Controller,
Fiori CN27: Network Confirmation - Collective Confirmation,
Fiori CN28: Display Network Confirmation Details,
Fiori CN29: Cancel Network Confirmation for Project Logistics Controller,
Fiori CN33: Transfer Bill of Material,
Fiori CN41: Project Structure Overview,
Fiori CN41N: Structure Overview,
Fiori CN42: Project Defintion Overview - Enhanced,
Fiori CN42N: Project Definition Overview,
Fiori CN43: WBS Elements Overview - Enhanced,
Fiori CN43N: WBS Elements Overview,
Fiori CN44: Planned Orders Overview - Enhanced,
Fiori CN44N: Planned Orders Overview,
"Fiori CN45: Orders Overview, Orders Overview - Enhanced",
"Fiori CN45N: Orders Overview, Orders Overview - Enhanced",
Fiori CN46: Networks Overview - Enhanced,
Fiori CN46N: Networks Overview,
Fiori CN47: Activities/Elements Overview - Enhanced,
Fiori CN47N: Activities/Elements Overview,
Fiori CN48: Confirmations Overview - Enhanced,
Fiori CN48N: Confirmations Overview,
Fiori CN49: Relationships Overview - Enhanced,
Fiori CN49N: Relationships Overview,
Fiori CN50: Capacity Requirements Overview - Enhanced,
Fiori CN50N: Capacity Requirements Overview,
Fiori CN51N: Production Resources/Tools Overview,
Fiori CN52: Components Oveview - Enhanced,
Fiori CN52N: Components Overview,
Fiori CN53: Milestones Overview - Enhanced,
Fiori CN53N: Milestones Overview,
Fiori CN54N: Sales and Distribution Documents Overview,
Fiori CN55N: Sales Document Items Oveview,
Fiori CN60: Change Documents Overview,
Fiori CNL3: Display Delivery Information,
Fiori CNMASS: Mass Changes,
Fiori CNMM: Project-Oriented Procurement,
